Order Number,Package,Name,Execution_Type,Priority,Status,Type,Created By,Created At,Last Updated At,Objective,Description,Notes,Pre Condition,Post Condition,Step Number,Step Description,Step Expected Result,Test_Script_Entry,Test_Script_Expected_Result
"","","","","","","","","","","","","","","",2,"Select ""Bookmarks""","A drop-right menu opens","",""
"","","","","","","","","","","","","","","",3,"Click on ""Import Bookmark and Settings ...""","A new ""Settings"" tab opens with an ""Importing window in foreground""","",""
"","","","","","","","","","","","","","","",4,"On the Importing window, check what will be imported (Favorites/Bookmarks)","-","",""
"","","","","","","","","","","","","","","",5,"On the top-window, select from which browser bookmarks will be imported","-","",""
"","","","","","","","","","","","","","","",6,"Click on ""Import""","Your Browser bookmarks have been correctly imported into Chrome and are available in Chrome bookmarks bar","",""
492,"IvyBridge|Q2_13|C0-web|10-chrome|10-web-browser","0K-export-bookmark-to-file","Manual","P2","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","export bookmarks to a HTML file","Check if Chrome can export correctly bookmarks to HTML file","","","",1,"Click on the Tools button","A drop-down menu opens","",0
"","","","","","","","","","","","","","","",2,"Select ""Bookmarks""","A drop-right menu opens","",""
"","","","","","","","","","","","","","","",3,"Click on ""Bookmark Manager""","A new ""Bookmark Manager"" tab opens","",""
"","","","","","","","","","","","","","","",4,"In the ""Bookmark Manager"" tab, click on ""Organize""","A drop-down menu opens","",""
"","","","","","","","","","","","","","","",5,"In the drop-down menu, click on ""Export Bookmarks to HTML File...""","A file manager window opens","",""
"","","","","","","","","","","","","","","",6,"Select a directory and click on ""Save""","A HTML file listing the Chrome bookmarks has correctly been created in the selected directory","",""
493,"IvyBridge|Q2_13|C0-web|10-chrome|10-web-browser","0L-import-bookmark-from-file","Manual","P2","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","import bookmarks from a HTML file","Check if Chrome can import correctly bookmarks from a HTML file","","","",1,"Click on the Tools button","A drop-down menu opens","",0
"","","","","","","","","","","","","","","",2,"Select ""Bookmarks""","A drop-right menu opens","",""
"","","","","","","","","","","","","","","",3,"Click on ""Bookmark Manager""","A new ""Bookmark Manager"" tab opens","",""
"","","","","","","","","","","","","","","",4,"In the ""Bookmark Manager"" tab, click on ""Organize""","A drop-down menu opens","",""
"","","","","","","","","","","","","","","",5,"In the drop-down menu, click on ""Import Bookmarks from HTML File...""","A file manager window opens","",""
"","","","","","","","","","","","","","","",6,"Select the bookmark HTML file in the file manager","-","",""
"","","","","","","","","","","","","","","",7,"Click on ""Open""","A directory ""Imported"" containing all bookmarks listed in the HTML file has been created in the Chrome bookmark manager and is available in the Bookmark bar","",""
494,"IvyBridge|Q2_13|C0-web|10-chrome|20-multimedia","01-play-youtube","Manual","P1","Designed","Functional positive","elebideau","2013-03-22","2013-03-28","use google chrome to play youtube video","Check if google chrome is able to display youtube videos","","","",1,"In the google applications page, click on ""YouTube""","The ""YouTube"" page appears","",0
"","","","","","","","","","","","","","","",2,"In the YouTube search field, type ""chrome""","-","",""
"","","","","","","","","","","","","","","",3,"Press ""Enter""","A listing of video appears","",""
"","","","","","","","","","","","","","","",4,"Click on a video","The video starts correctly (video and sound synchronized)","",""
"","","","","","","","","","","","","","","",5,"Click on the ""Pause"" button","The video stops","",""
"","","","","","","","","","","","","","","",6,"Click on the ""Play"" button","The video restarts","",""
"","","","","","","","","","","","","","","",7,"Click on the ""mute"" button","The video is played in mute mode","",""
"","","","","","","","","","","","","","","",8,"Click anywhere on the video progress bar","The video continues to be displayed correctly from selected part","",""
"","","","","","","","","","","","","","","",9,"Click on the ""Full screen"" button","The video is correctly displayed in Full screen mode","",""
"","","","","","","","","","","","","","","",10,"Click on the ""Pause"" button","The video stops","",""
"","","","","","","","","","","","","","","",11,"Click on the ""Play"" button","The video restarts","",""
"","","","","","","","","","","","","","","",12,"Click on the ""mute"" button","The video is played in mute mode","",""
"","","","","","","","","","","","","","","",13,"Click anywhere on the video progress bar","The video continues to be displayed correctly from selected part","",""
495,"IvyBridge|Q2_13|C0-web|10-chrome|20-multimedia","02-play-video-ogg","Manual","P1","Designed","Functional positive","elebideau","2013-03-22","2013-03-28","use google chrome to play ogg theora videos","Check if Google chrome is able to display ogg theora videos","","","",1,"In the search bar, type ""~"" and press ""Enter""","Your home directory appears in chrome","",0
"","","","","","","","","","","","","","","",2,"Click on the ogg theora file","Chrome starts correctly the video","",""
"","","","","","","","","","","","","","","",3,"Click on the ""Full screen"" button","The video is correctly displayed in Full screen mode","",""
"","","","","","","","","","","","","","","",4,"Click on the ""Pause"" button","The video stops","",""
"","","","","","","","","","","","","","","",5,"Click on the ""Play"" button","The video restarts","",""
"","","","","","","","","","","","","","","",6,"Click on the ""mute"" button","The video is played in mute mode","",""
"","","","","","","","","","","","","","","",7,"Click anywhere on the video progress bar","The video continues to be displayed correctly from selected part","",""
496,"IvyBridge|Q2_13|C0-web|10-chrome|20-multimedia","03-play-video-mp4","Manual","P1","Designed","Functional positive","elebideau","2013-03-26","2013-03-28","use google chrome to play mp4 videos","Check if Google chrome is able to display mp4 videos","","","",1,"In the search bar, type ""~"" and press ""Enter""","Your home directory appears in chrome","",0
"","","","","","","","","","","","","","","",2,"Click on the mp4 file","Chrome starts correctly the video","",""
"","","","","","","","","","","","","","","",3,"Click on the ""Full screen"" button","The video is correctly displayed in Full screen mode","",""
"","","","","","","","","","","","","","","",4,"Click on the ""Pause"" button","The video stops","",""
"","","","","","","","","","","","","","","",5,"Click on the ""Play"" button","The video restarts","",""
"","","","","","","","","","","","","","","",6,"Click on the ""mute"" button","The video is played in mute mode","",""
"","","","","","","","","","","","","","","",7,"Click anywhere on the video progress bar","The video continues to be displayed correctly from selected part","",""
497,"IvyBridge|Q2_13|C0-web|10-chrome|20-multimedia","04-play-video-webm","Manual","P1","Designed","Functional positive","elebideau","2013-03-26","2013-03-28","use google chrome to play WebM videos","Check if Google chrome is able to display WebM videos","","","",1,"In the search bar, type ""~"" and press ""Enter""","Your home directory appears in chrome","",0
"","","","","","","","","","","","","","","",2,"Click on the WebM file","Chrome starts correctly the video","",""
"","","","","","","","","","","","","","","",3,"Click on the ""Full screen"" button","The video is correctly displayed in Full screen mode","",""
"","","","","","","","","","","","","","","",4,"Click on the ""Pause"" button","The video stops","",""
"","","","","","","","","","","","","","","",5,"Click on the ""Play"" button","The video restarts","",""
"","","","","","","","","","","","","","","",6,"Click on the ""mute"" button","The video is played in mute mode","",""
"","","","","","","","","","","","","","","",7,"Click anywhere on the video progress bar","The video continues to be displayed correctly from selected part","",""
498,"IvyBridge|Q2_13|C0-web|10-chrome|20-multimedia","05-play-audio-ogg","Manual","P1","Designed","Functional positive","elebideau","2013-03-22","2013-03-28","use google chrome to play ogg audio","Check if Google chrome is able to play ogg audio files","","","",1,"In the search bar, type ""~"" and press ""Enter""","Your home directory appears in chrome","",0
"","","","","","","","","","","","","","","",2,"Click on the ogg audio file","Chrome starts correctly the audio file","",""
"","","","","","","","","","","","","","","",3,"Click on the ""Pause"" button","The audio file stops","",""
"","","","","","","","","","","","","","","",4,"Click on the ""Play"" button","The audio file restarts","",""
"","","","","","","","","","","","","","","",5,"Click on the ""mute"" button","The audio is in mute mode","",""
"","","","","","","","","","","","","","","",6,"Click anywhere on the audio progress bar","The audio file continues to play correctly from selected part","",""
499,"IvyBridge|Q2_13|C0-web|10-chrome|20-multimedia","06-play-audio-mp3","Manual","P1","Designed","Functional positive","elebideau","2013-03-26","2013-03-28","use google chrome to play mp3 audio","Check if Google chrome is able to play mp3 audio files","","","",1,"In the search bar, type ""~"" and press ""Enter""","Your home directory appears in chrome","",0
"","","","","","","","","","","","","","","",2,"Click on the mp3 audio file","Chrome starts correctly the audio file","",""
"","","","","","","","","","","","","","","",3,"Click on the ""Pause"" button","The audio file stops","",""
"","","","","","","","","","","","","","","",4,"Click on the ""Play"" button","The audio file restarts","",""
"","","","","","","","","","","","","","","",5,"Click on the ""mute"" button","The audio is in mute mode","",""
"","","","","","","","","","","","","","","",6,"Click anywhere on the audio progress bar","The audio file continues to play correctly from selected part","",""
500,"IvyBridge|Q2_13|C0-web|10-chrome|20-multimedia","07-play-audio-wav","Manual","P1","Designed","Functional positive","elebideau","2013-03-26","2013-03-28","use google chrome to play wav audio","Check if Google chrome is able to play mp3 audio files","","","",1,"In the search bar, type ""~"" and press ""Enter""","Your home directory appears in chrome","",0
"","","","","","","","","","","","","","","",2,"Click on the wav audio file","Chrome starts correctly the audio file","",""
"","","","","","","","","","","","","","","",3,"Click on the ""Pause"" button","The audio file stops","",""
"","","","","","","","","","","","","","","",4,"Click on the ""Play"" button","The audio file restarts","",""
"","","","","","","","","","","","","","","",5,"Click on the ""mute"" button","The audio is in mute mode","",""
"","","","","","","","","","","","","","","",6,"Click anywhere on the audio progress bar","The audio file continues to play correctly from selected part","",""
501,"IvyBridge|Q2_13|C0-web|10-chrome|20-multimedia","08-play-presentation-fullscreen","Manual","P1","Designed","Functional positive","elebideau","2013-03-22","2013-03-26","use google chrome to play presentation in fullscreen mode","Check if chrome handles the full screen presentation","","","",1,"Right-click on the ppt file listed in Goodgle Drive","A drop-down menu opens","",0
"","","","","","","","","","","","","","","",2,"Select Open wit","A drop-right menu opens","",""
"","","","","","","","","","","","","","","",3,"Select Google Presentations","The Google presentation application loads and starts correctly in a new tab","",""
"","","","","","","","","","","","","","","",4,"On the top-right window, click on Play","The presentation starts in full screen mode","",""
"","","","","","","","","","","","","","","",5,"Click on ""Allow"" on the full screen notifications which appears on the top screen","-","",""
"","","","","","","","","","","","","","","",6,"Use the mouse-clicking or the Up and Down or Left and Right keys to switch between the slides","-","",""
"","","","","","","","","","","","","","","",7,"Move the mouse to display a tool panel and select ""Quit"" on it","The Full screen mode has end correctly","",""
502,"IvyBridge|Q2_13|C0-web|10-chrome|30-web-apps","01-desktop-shortcuts","Manual","P1","Designed","Functional positive","elebideau","2013-03-28","2013-03-28","create applications shortcuts","Check if Chrome allows to create applications shortcuts from websites","","","",1,"Click on the Tools button","A drop-down menu opens","",0
"","","","","","","","","","","","","","","",2,"Select ""Tools""","A drop-left menu opens","",""
"","","","","","","","","","","","","","","",3,"Click on ""Create Application Shortcuts...""","A ""Create Application Shortcuts"" window appears","",""
"","","","","","","","","","","","","","","",4,"in the window, check ""Desktop"" and ""Applications menu""","-","",""
"","","","","","","","","","","","","","","",5,"Click on ""Create""","A new Chrome window starts with your website displayed in a application window  (without Chrome features) and the shortcut of the corresponding application is available in the Desktop and in the Application menu","",""
503,"IvyBridge|Q2_13|C0-web|10-chrome|30-web-apps","02-install-app","Manual","P1","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","Install chrome application","Install an applcation provided by Chrome Web Store","","","",1,"Click on ""Chrome Web Store""","The Chrome Web Store page appears","",0
"","","","","","","","","","","","","","","",2,"Select any application and Click on ""Add to Chrome""","A ""Confirm New App"" window appears","",""
"","","","","","","","","","","","","","","",3,"Click on ""Add""","A ""New tab"" page appears with the newly application installed in Chrome visible","",""
504,"IvyBridge|Q2_13|C0-web|10-chrome|30-web-apps","03-web-app-homescreen-application-mode","Manual","P1","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","chrome web applications icons appears in homescreen application mode","Check if when installed, a chrome application is visible in the homescreen application mode","","","",1,"Click on the top left ""Applications"" button","The homescreen application mode is displayed","",0
"","","","","","","","","","","","","","","",2,"Check the Applications installed","A high-resolution icon for the application installed from Chrome Web Store is visible","",""
505,"IvyBridge|Q2_13|C0-web|10-chrome|30-web-apps","04-web-app-homescreen","Manual","P1","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","chrome web applications icons appears on homescreen","Check if when installed, a chrome application is visible on the homescreen","","","",1,"Check the desktop","A high-resolution icon for the application must be visible","",0
506,"IvyBridge|Q2_13|C0-web|10-chrome|30-web-apps","05-web-app-homescreen-settings","Manual","P1","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","chrome web applications icons appears in homescreen settings","Check if when installed, a chrome application is visible in the homescreen settings","","","",1,"Click on the top right ""user"" button","A drop-down menu opens","",0
"","","","","","","","","","","","","","","",2,"Click on ""Settings""","The Settings window appears","",""
"","","","","","","","","","","","","","","",3,"Click on ""Home Screen Settings""","The Home Screen Settings window appears and a high-resolution icon for the application installed from Chrome Web Store is visible in the Home screen Apps","",""
507,"IvyBridge|Q2_13|C0-web|10-chrome|30-web-apps","06-use-web-app-homescreen-application-mode","Manual","P1","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","launch a web application from homescreen application mode","Check if an application installed from Chrome Web Store can launched and use from the homescreen application mode","","","",1,"In the homescreen application mode, click on the Google application installed icon","The application starts in a restricted Chrome browser application window and is usable","",0
508,"IvyBridge|Q2_13|C0-web|10-chrome|30-web-apps","07-use-web-app-homescreen","Manual","P1","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","launch a web application from the homescreen","Check if an application installed from Chrome Web Store can launched and use from the homescreen","","","",1,"On the homescreen, click on the Google application installed icon","The application starts in a restricted Chrome browser application window and is usable","",0
509,"IvyBridge|Q2_13|C0-web|10-chrome|30-web-apps","08-use-web-app-homescreen-settings","Manual","P1","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","launch a web application from the homescreen-settings","Check if an application installed from Chrome Web Store can launched and use from the homescreen settings","","","",1,"On the homescreen settings window, double-click on the Google application installed icon","A drop-down menu opens","",0
"","","","","","","","","","","","","","","",2,"In the drop-down menu, click on ""Launch""","The application starts in a restricted Chrome browser application window and is usable","",""
510,"IvyBridge|Q2_13|C0-web|10-chrome|30-web-apps","09-switch-web-app","Manual","P1","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","switch between several chrome web applications","Check if the system recognize Chrome installed applications as different programs and allows to switch between them like for other programs installed on the system","","","",1,"Press Alt+Tab to switch between the applications","The switch mode displays all Chrome applications like different entities and allows to switch between them","",0
511,"IvyBridge|Q2_13|C0-web|10-chrome|30-web-apps","0A-gmail-offline","Manual","P2","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","Google web mail available offline","Check if the Gmail application can be started and used in offline mode","","","",1,"Open the Gmail offline application from Chrome or from the homescreen application mode","Gmail offline starts and correctly displays the messages and allows to write emails and to displays all emails existing","",0
512,"IvyBridge|Q2_13|C0-web|10-chrome|30-web-apps","0B-google-drive-docs","Manual","P1","Designed","Functional positive","elebideau","2013-03-28","2013-03-28","use google docs","Check the good behaviour of google-drive/docs","","","",1,"In the google applications page, click on ""Docs""","The ""Docs"" page appears","",0
"","","","","","","","","","","","","","","",2,"In the ""Docs"" page type some keyboard letters on the blank document","The letters are displayed","",""
"","","","","","","","","","","","","","","",3,"Close the ""Docs"" tab","-","",""
"","","","","","","","","","","","","","","",4,"Click again on the ""new tab"" button","a new tab is opened and the google applications page appears","",""
"","","","","","","","","","","","","","","",5,"In the google applications page, click on ""Google Drive""","The ""Google Drive"" page appears with the previously edited document listed","",""
"","","","","","","","","","","","","","","",6,"Click on the document","The ""Docs"" page is displayed and what has been typed is displayed","",""
"","","","","","","","","","","","","","","",7,"Close the ""Docs"" tab","-","",""
"","","","","","","","","","","","","","","",8,"In the ""Google Drive"" tab, mark the document and click on the ""Delete"" button","The document has been moved into the trash section","",""
513,"IvyBridge|Q2_13|C0-web|10-chrome|30-web-apps","0C-google-drive-offline","Manual","P2","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","Google web document available offline","Check if Google Drive can be used offline","","","",1,"Check that offline mode is activated","-","",0
"","","","","","","","","","","","","","","",2,"Run Google Drive from Chrome or from the homescreen application mode","Google Drive starts correctly and allows to open and edit the listed documents","",""
514,"IvyBridge|Q2_13|C0-web|10-chrome|30-web-apps","0D-uninstall-web-app","Manual","P1","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","uninstall a chrome web application","Check if Chrome allows to uninstall applications installed by Chrome Web Store","","","",1,"Go on the ""new tab"" page in Chrome to see all install applications listed","-","",0
"","","","","","","","","","","","","","","",2,"Right-click on the application to uninstall","A drop-down menu opens","",""
"","","","","","","","","","","","","","","",3,"Click on ""Remove from Chrome""","The application is successfully uninstalled and disappeared from the Chrome new tab page","",""
515,"IvyBridge|Q2_13|C0-web|10-chrome|30-web-apps","0E-uninstalled-web-app-homescreen-application-mode","Manual","P1","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","uninstalled chrome web application disappeared from the homescreen application mode","Check if Chrome uninstalled applications have correctly disappeared from the homescreen application mode","","","",1,"Click on the top left ""Applications"" button","The homescreen application mode is displayed","",0
"","","","","","","","","","","","","","","",2,"Check the Applications installed","The chrome application icon does not appear in the application list because it has been correctly uninstalled","",""
516,"IvyBridge|Q2_13|C0-web|10-chrome|30-web-apps","0F-uninstalled-web-app-homescreen","Manual","P1","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","uninstalled chrome web application disappeared from the homescreen","Check if Chrome uninstalled applications have correctly disappeared from the homescreen","","","",1,"Check the desktop","The application must not be visible because it has been correctly uninstalled","",0
517,"IvyBridge|Q2_13|C0-web|10-chrome|30-web-apps","0G-uninstalled-web-app-homescreen-settings","Manual","P1","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","uninstalled chrome web application disappeared from the homescreen settings","Check if Chrome uninstalled applications have correctly disappeared from the homescreen settings","","","",1,"Click on the top right ""user"" button","A drop-down menu opens","",0
"","","","","","","","","","","","","","","",2,"Click on ""Settings""","The Settings window appears","",""
"","","","","","","","","","","","","","","",3,"Click on ""Home Screen Settings""","The Home Screen Settings window appears and the application installed from Chrome Web Store is not visible in the Home screen Apps because it has been correctly uninstalled","",""
518,"IvyBridge|Q2_13|C0-web|10-chrome|40-settings","01-themes","Manual","P2","Designed","Functional positive","elebideau","2013-03-28","2013-03-28","change Chrome Theme","Check if it possible to change Chrome Theme","","","",1,"Click on ""Chrome Web Store""","The Chrome Web Store is displayed","",0
"","","","","","","","","","","","","","","",2,"On the left frame, Click on ""Themes""","A lot of Themes are displayed","",""
"","","","","","","","","","","","","","","",3,"Select one and click on ""Choose Theme""","The theme is installed by Chrome and applied to Chrome browser","",""
519,"IvyBridge|Q2_13|C0-web|10-chrome|40-settings","02-default-themes","Manual","P3","Designed","Functional positive","sdx","2013-03-28","2013-03-28","Reset the theme to default","The theme can be reset to default google chrome themes","","","",1,"open settings","-","",0
"","","","","","","","","","","","","","","",2,"in ""Appearance"" section, click on ""Use GTK+ Theme""","the apperance must be reset to the original one","",""
520,"IvyBridge|Q2_13|C0-web|10-chrome|40-settings","03-startup-specific","Manual","P1","Designed","Functional positive","elebideau","2013-03-28","2013-03-28","apply startup preferences","Apply available startup preferences","","","",1,"Click on the Tools button","A drop-down menu opens","",0
"","","","","","","","","","","","","","","",2,"Click on ""Settings""","A new ""Settings"" tab opens","",""
"","","","","","","","","","","","","","","",3,"In this tab, At the ""On startup"" level, select ""Continue where I left off"" and close Chrome","-","",""
"","","","","","","","","","","","","","","",4,"Start Chrome again","The tabs opened before quitting have been restored","",""
"","","","","","","","","","","","","","","",5,"Still in the ""On startup"" level, Selec ""Open a specific page or set of pages"" and click on ""Set pages""","A ""Startup pages"" window appears""","",""
"","","","","","","","","","","","","","","",6,"In this window, Add ""www.youyube.com"" in the ""Add a new page file"" field and press ""Enter""","-","",""
"","","","","","","","","","","","","","","",7,"Add ""www.facebook.com"" in the ""Add a new page file"" field and press ""Enter""","-","",""
"","","","","","","","","","","","","","","",8,"Click on ""Ok"" and close Chrome","-","",""
"","","","","","","","","","","","","","","",9,"Start Chrome again","Chrome starts with the Youtube and the Facebook pages displayed","",""
521,"IvyBridge|Q2_13|C0-web|10-chrome|40-settings","04-home-button","Manual","P1","Designed","Functional positive","elebideau","2013-03-28","2013-03-28","test home button","define the url corresponding to the Home button and display it in Chrome","","","",1,"Click on the Tools button","A drop-down menu opens","",0
"","","","","","","","","","","","","","","",2,"Click on ""Settings""","A new ""Settings"" tab opens","",""
"","","","","","","","","","","","","","","",3,"In this tab, in the ""Appearance"" level, check ""Show Home button""","The Home button is displayed in Chrome","",""
"","","","","","","","","","","","","","","",4,"Under ""Show Home button"", click on ""Change"" next to ""New tab page""","A ""Home page"" window appears","",""
"","","","","","","","","","","","","","","",5,"In this window, check ""Open this page"" and type ""www.wikipedia.org"" in the field corresponding and press ""Enter""","-","",""
"","","","","","","","","","","","","","","",6,"Click on ""Ok""","-","",""
"","","","","","","","","","","","","","","",7,"Click on the Home button","The Wikipedia page is successfully displayed","",""
522,"IvyBridge|Q2_13|C0-web|10-chrome|40-settings","05-print-document","Manual","P1","Designed","Functional positive","elebideau","2013-03-28","2013-03-28","print a document from google chrome","Check if Chrome handle the printing support for documents","","","",1,"Click on a document listed in Google Drive","The document is displayed","",0
"","","","","","","","","","","","","","","",2,"Click on the bottom-right printing button","A printing page is displayed","",""
"","","","","","","","","","","","","","","",3,"Click on Print","The printing manager starts and the document is correctly printed","",""
523,"IvyBridge|Q2_13|C0-web|10-chrome|40-settings","06-print-web-site","Manual","P1","Designed","Functional positive","elebideau","2013-03-28","2013-03-28","print a web site from google chrome","Check if Chrome handle the printing support for websites","","","",1,"Press Ctrl+P","A printing page is displayed","",0
"","","","","","","","","","","","","","","",2,"Click on Print","The printing manager starts and the document is correctly printed","",""
524,"IvyBridge|Q2_13|C0-web|10-chrome|40-settings","07-secure-connection","Manual","P1","Designed","Functional positive","elebideau","2013-03-28","2013-03-28","use secure connection by google chrome","Check if Chrome can use secure connection","","","",1,"Click on the ""Gmail"" icon","Gmail page is displayed and the mention ""https"" is visible in the beginning of the search bar","",0
525,"IvyBridge|Q2_13|C0-web|10-chrome|40-settings","08-set-default","Manual","P1","Designed","Functional positive","elebideau","2013-03-28","2013-03-28","Google Chrome as default Web Browser","Set Google Chrome as the default Browser used with the system","","","",1,"Click on the top-right configuration button","A drop-down menu opens","",0
"","","","","","","","","","","","","","","",2,"Click on ""Settings""","A new Settings tab appears","",""
"","","","","","","","","","","","","","","",3,"Down to this tab, select ""Define Google Chrome as default browser""","Chrome is now the default browser of the system","",""
526,"IvyBridge|Q2_13|C0-web|10-chrome|40-settings","09-default-browser","Manual","P1","Designed","Functional positive","elebideau","2013-03-28","2013-03-28","every url link opened with google chrome","Check if a link is correctly opened with Google Chrome","","","",1,"Click on the link in the text file","Chrome starts and the page corresponding to the link is correctly opened","",0
527,"IvyBridge|Q2_13|C0-web|10-chrome|40-settings","0A-html5-notifications","Manual","P2","Designed","Functional positive","elebideau","2013-03-28","2013-03-28","HTML5 notifications displayed in Desktop environment notifications area","Check if HTML5 notifications are displayed in Dektop environment notifications area","","","",1,"Open the following website : http://dangercove.com/html5-notifications/","-","",0
"","","","","","","","","","","","","","","",2,"Click on ""Ask permission to display notifications""","Chrome ask you to Deny or Allow showing desktop notifications","",""
"","","","","","","","","","","","","","","",3,"Click on ""Allow""","-","",""
"","","","","","","","","","","","","","","",4,"In the bottom-left page, clik on ""Show notification""","The notifications are displayed in the bottom screen and available in the bottom-right notifications area","",""
528,"IvyBridge|Q2_13|C0-web|10-chrome|40-settings","0B-gnome-online-account","Manual","P1","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","use gnome online account to sign in google user","Sign in Chrome with the Gnome Online Account configured with a Google account","","","",1,"Start Google chrome without any count registered","Chrome should start normally, and the ""Welcome to Chrome"" page must not appears because your ""sign in"" parameters have been automatically registered in Chrome due to Gnome Online Account configuration","",0
529,"IvyBridge|Q2_13|C0-web|10-chrome|40-settings","0C-save-username-password","Manual","P1","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","save a username and a password with chrome","Check if Chrome is able to save passwords","","","",1,"Go on wwww.google.com","-","",0
"","","","","","","","","","","","","","","",2,"On that page, click on the top-right ""Connexion"" button","A Google account page appears","",""
"","","","","","","","","","","","","","","",3,"In this page, fill the email and the password fields","-","",""
"","","","","","","","","","","","","","","",4,"Click on ""Connexion""","The Google page appears with a top-notifications asking if Chrome has to save password or not","",""
"","","","","","","","","","","","","","","",5,"Click on ""Save password""","Your password has been successfully","",""
"","","","","","","","","","","","","","","",6,"Disconnect from your Google account","-","",""
"","","","","","","","","","","","","","","",7,"Close Chrome and start it again","-","",""
"","","","","","","","","","","","","","","",8,"Click on ""Connexion""","The email and the password fields are already filled and there is just need to click in ""Connexion""","",""
530,"IvyBridge|Q2_13|C0-web|10-chrome|40-settings","0D-gnome-keyring","Manual","P1","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","username and password saved in chrome are saved in gnome-keyring/seahorse","Check if the usernames and passwords saved in chrome are saved too in the Gnome configuration","","","",1,"In the homescreen application mode, click on the ""Passwords and Keys"" application","The application starts and must appears the line ""accounts.google.com""","",0
"","","","","","","","","","","","","","","",2,"Righ-click on this line and select ""Properties""","A window appears with the key and Details tabs","",""
"","","","","","","","","","","","","","","",3,"In the ""Key"" tab, click on Password in the bottom","A hide-password appears","",""
"","","","","","","","","","","","","","","",4,"Check ""Show password""","The Google account password must be displayed","",""
"","","","","","","","","","","","","","","",5,"Click on the ""Details"" tab","At the ""username_value"" line should appears the Google account username","",""
531,"IvyBridge|Q2_13|C0-web|10-chrome|40-settings","0E-set-proxy","Manual","P2","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","set a proxy in google chrome","Check if chrome is able to open the ConnMan proxy settings","","","",1,"Click on the Tools button","A drop-down menu opens","",0
"","","","","","","","","","","","","","","",2,"Click on ""Settings""","A new ""Settings"" tab opens","",""
"","","","","","","","","","","","","","","",3,"Go down of the page settings and click on ""Show advanced settings...""","More settings are available","",""
"","","","","","","","","","","","","","","",4,"Go to the ""Network"" level and click on ""Change proxy settings...""","The ConnMan Settings UI window appears and allows to set a proxy","",""
532,"IvyBridge|Q2_13|C0-web|10-chrome|40-settings","0F-system-title-bar","Manual","P2","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","Google chrome configured to use system title and border","Check if it is possible to enable/disable system title and border in chrome","","","",1,"In chrome, next to a tab, right-click on an empty bar","A drop-down menu opens","",0
"","","","","","","","","","","","","","","",2,"In the drop-down menu, Click on ""Use System Title and Borders""","The system title and border appears / disappears in Chrome","",""
533,"IvyBridge|Q2_13|C0-web|10-chrome|40-settings","0G-import-certificate","Manual","P3","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","Import secure certificate in google chrome","Check if chrome is able to import secure certificates","","","",1,"Click on the Tools button","A drop-down menu opens","",0
"","","","","","","","","","","","","","","",2,"Click on ""Settings""","A new ""Settings"" tab opens","",""
"","","","","","","","","","","","","","","",3,"Go down of the page settings and click on ""Show advanced settings...""","More settings are available","",""
"","","","","","","","","","","","","","","",4,"Go to the ""HTTP/SSL"" level and click on ""Manage certificates...""","A ""Certificate manager"" window appears with a ""Your Certificates"", a ""Servers"", a ""Authorities"", and a ""Others"" tab","",""
"","","","","","","","","","","","","","","",5,"Select one of the tab and click on ""Import..."" in it","A file manager opens","",""
"","","","","","","","","","","","","","","",6,"In the file manager select your certificate and click on ""Open""","-","",""
"","","","","","","","","","","","","","","",7,"Back to the Certificate Manager, cick on ""Ok""","The certificate has been succesfully imported","",""
534,"IvyBridge|Q2_13|C0-web|10-chrome|40-settings","0H-statistics","Manual","P3","Designed","Functional positive","elebideau","2013-03-22","2013-03-27","sending statistics and crash reports to Google","Check is chrome is able to send statistics and crash reports to Google","","","",1,"Click on the Tools button","A drop-down menu opens","",0
"","","","","","","","","","","","","","","",2,"Click on ""Settings""","A new ""Settings"" tab opens","",""
"","","","","","","","","","","","","","","",3,"Go down of the page settings and click on ""Show advanced settings...""","More settings are available","",""
"","","","","","","","","","","","","","","",4,"In the ""Privacy"" section, check ""Automatically send usage statistics and crash reports to Google""","When a crash happens, statistics and crash reports must be successfully sent to Google","",""
